Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Northern Cardinal,Cardinalis,cardinalis,8 Pigeon Hill Rd,3/1/1972,Nanuet,Rockland,New York,United States,North America,2 of them starting a family right outside Janet's window!!,  ,  ,  ,  ,  
American Goldfinch,Carduelis,tristis,8 Pigeon Hill Rd,3/10/1972,Nanuet,Rockland,New York,United States,North America,50 of them like dandelions on the front lawn!,  ,  ,  ,  ,  
Herring Gull,Larus,argentatus,Nanuet Mall,4/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Mockingbird,Mimus,polyglottos,8 Pigeon Hill Rd,4/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Robin,Turdus,migratorius,8 Pigeon Hill Rd,4/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Crow,Corvus,brachyrhynchos,Nanuet High School,4/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
House Sparrow,Passer,domesticus,Nanuet Mall,4/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Rock Dove,Columba,livia,Nanuet,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Blue Jay,Cyanocitta,cristata,8 Pigeon Hill Rd,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
European Starling,Sturnus,vulgaris,8 Pigeon Hill Rd,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Rose-breasted Grosbeak,Pheucticus,ludovicianus,8 Pigeon Hill Rd,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Red-winged Blackbird,Agelaius,phoeniceus,Rockland Lake,5/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Grackle,Quiscalus,quiscula,8 Pigeon Hill Rd,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Baltimore Oriole,Icterus,galbula,8 Pigeon Hill Rd,5/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Canada Goose,Branta,canadensis,Dominican College,6/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Mallard,Anas,platyrhynchos,Hook Mountain,6/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Laughing Gull,Larus,atricilla,Jersey shore,6/1/1972, Lavalette, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Common Tern,Sterna,hirundo,Jersey shore,6/1/1972, Lavalette, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Chimney Swift,Chaetura,pelagica,8 Pigeon Hill Rd,6/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Flicker,Colaptes,auratus,Dominican College,6/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Wood Thrush,Hylocichla,mustelina,8 Pigeon Hill Rd,6/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Black-capped Chickadee,Poecile,atricapilla,Dominican College,6/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Chipping Sparrow,Spizella,passerina,8 Pigeon Hill Rd,6/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Mourning Dove,Zenaida,macroura,Nanuet,7/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Kingbird,Tyrannus,tyrannus,Hook Mountain,7/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
House Wren,Troglodytes,aedon,8 Pigeon Hill Rd,7/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Song Sparrow,Melospiza,melodia,8 Pigeon Hill Rd,7/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Indigo Bunting,Passerina,cyanea,Hook Mountain,7/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Kestrel,Falco,sparverius,8 Pigeon Hill Rd,8/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Downy Woodpecker,Picoides,pubescens,8 Pigeon Hill Rd,8/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Tree Swallow,Tachycineta,bicolor,8 Pigeon Hill Rd,8/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Northern Rough-winged Swallow,Stelgidopteryx,serripennis,Seaside,8/1/1972,Seaside, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Gray Catbird,Dumetella,carolinensis,Hook Mountain,8/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Hermit Thrush,Catharus,guttatus,Hook Mountain,8/1/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Brown Thrasher,Toxostoma,rufum,Nanuet,9/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Cedar Waxwing,Bombycilla,cedrorum,Rockland,9/3/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Turkey Vulture,Cathartes,aura,Lake Te-Ad-Wa,9/18/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Least Flycatcher,Empidonax,minimus,Lake Te-Ad-Wa,9/18/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Bluebird,Sialia,sialis,Lake Te-Ad-Wa,9/18/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Red-breasted Nuthatch,Sitta,canadensis,Lake Te-Ad-Wa,9/18/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Tufted Titmouse,Baeolophus,bicolor,8 Pigeon Hill Rd,10/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
White-breasted Nuthatch,Sitta,carolinensis,8 Pigeon Hill Rd,10/1/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Towhee,Pipilo,erythrophthalmus,8 Pigeon Hill Rd,10/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
White-throated Sparrow,Zonotrichia,albicollis,8 Pigeon Hill Rd,10/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Dark-eyed Junco,Junco,hyemalis,8 Pigeon Hill Rd,10/16/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Yellow-bellied Sapsucker,Sphyrapicus,varius,8 Pigeon Hill Rd,10/17/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
House Finch,Carpodacus,mexicanus,8 Pigeon Hill Rd,10/22/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Pectoral Sandpiper,Calidris,melanotos,West Nyack Swamp,10/25/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Belted Kingfisher,Ceryle,alcyon,West Nyack Swamp,10/25/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Brown-headed Cowbird,Molothrus,ater,8 Pigeon Hill Rd,11/5/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Hairy Woodpecker,Picoides,villosus,8 Pigeon Hill Rd,11/30/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Tree Sparrow,Spizella,arborea,8 Pigeon Hill Rd,12/12/1972,Nanuet,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Mute Swan,Cygnus,olor,Iona Island,12/26/1972, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Green-winged Teal,Anas,carolinensis,BrooksideSanctuary,1/21/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Red-tailed Hawk,Buteo,jamaicensis,W Nyack Dump,2/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Black Duck,Anas,rubripes,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Goldeneye,Bucephala,clangula,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Bufflehead,Bucephala,albeola,BrooksideSanctuary,3/4/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Wigeon,Anas,americana,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Lesser Scaup,Aythya,affinis,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ring-billed Gull,Larus,delawarensis,Rockland Lake,3/11/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Killdeer,Charadrius,vociferus,Nanuet High School,3/14/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Redhead,Aythya,americana,Rockland Lake,3/18/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Pied-billed Grebe,Podilymbus,podiceps,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Wood Duck,Aix,sponsa,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Common Merganser,Mergus,merganser,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ruddy Duck,Oxyura,jamaicensis,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ruffed Grouse,Bonasa,umbellus,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
American Coot,Fulica,americana,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Eastern Phoebe,Sayornis,phoebe,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Carolina Wren,Thryothorus,ludovicianus,Rockland Lake,3/25/1973, ,Rockland,New York,United States,North America,  ,  ,  ,  ,  ,  
Ring-necked Pheasant,Phasianus,colchicus,New York,4/1/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
Trumpeter Swan,Cygnus,buccinator,Sapsucker Pond,4/2/1973, Ithaca, ,New York,United States,North America,  ,  ,  ,  ,  ,  
Greater White-fronted Goose,Anser,albifrons,Sapsucker Pond,4/2/1973, , ,New York,United States,North America,  ,  ,  ,  ,  ,  
